TitleCode,TitleName,ItemCode,ItemName,Region,Country,CountryName,Platform,ContentType,Publisher,StartTime,Points/Cost,Currency,First Week,Total Sales,eShop/PIN/POSA,Period Total,8/31/2017,9/1/2017,9/2/2017,9/3/2017,9/4/2017,9/5/2017,9/6/2017,9/7/2017,9/8/2017,9/9/2017,9/10/2017,9/11/2017,9/12/2017,9/13/2017,9/14/2017,9/15/2017,9/16/2017,9/17/2017,9/18/2017,9/19/2017,9/20/2017,9/21/2017,9/22/2017,9/23/2017,9/24/2017,9/25/2017,9/26/2017,9/27/2017,9/28/2017,9/29/2017,9/30/2017,10/1/2017,10/2/2017,10/3/2017,10/4/2017,10/5/2017,10/6/2017,10/7/2017,10/8/2017,10/9/2017,10/10/2017,10/11/2017,10/12/2017,10/13/2017,10/14/2017,10/15/2017,10/16/2017,10/17/2017,10/18/2017,10/19/2017,10/20/2017,10/21/2017,10/22/2017,10/23/2017,10/24/2017,10/25/2017,10/26/2017,10/27/2017,10/28/2017,10/29/2017,10/30/2017,10/31/2017,11/1/2017,11/2/2017,11/3/2017,11/4/2017,11/5/2017,11/6/2017,11/7/2017,11/8/2017,11/9/2017,11/10/2017,11/11/2017,11/12/2017,11/13/2017,11/14/2017,11/15/2017,11/16/2017,11/17/2017,11/18/2017,11/19/2017,11/20/2017,11/21/2017,11/22/2017,11/23/2017,11/24/2017,11/25/2017,11/26/2017,11/27/2017,11/28/2017,11/29/2017,11/30/2017,12/1/2017,12/2/2017,12/3/2017,12/4/2017,12/5/2017,12/6/2017,12/7/2017,12/8/2017,12/9/2017,12/10/2017,12/11/2017,12/12/2017,12/13/2017,12/14/2017,12/15/2017,12/16/2017,12/17/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/23/2017,12/24/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017,12/29/2017,12/30/2017,12/31/2017,1/1/2018,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/6/2018,1/7/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/13/2018,1/14/2018,1/15/2018,1/16/2018,1/17/2018,1/18/2018,1/19/2018,1/20/2018,1/21/2018,1/22/2018,1/23/2018,1/24/2018,1/25/2018,1/26/2018,1/27/2018,1/28/2018,1/29/2018,1/30/2018,1/31/2018
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,GR,Greece,Switch,Service Ticket,EA,9/28/2017,99.99,EUR,1,1,eShop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,HR,Republic of Croatia,Switch,Service Ticket,EA,9/29/2017,99.99,EUR,0,0,eShop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,HU,Republic of Hungary,Switch,Service Ticket,EA,9/29/2017,99.99,EUR,1,1,eShop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,IE,Ireland,Switch,Service Ticket,EA,9/29/2017,99.99,EUR,2,15,eShop,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,IT,Italy,Switch,Service Ticket,EA,9/29/2017,99.99,EUR,13,113,eShop,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,3,2,2,0,1,0,0,1,1,1,1,1,1,2,0,0,0,1,0,1,1,0,0,1,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,4,1,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,4,1,0,4,2,3,1,3,3,2,0,0,1,0,1,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,LT,Republic of Lithuania,Switch,Service Ticket,EA,9/28/2017,99.99,EUR,0,0,eShop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,LU,Luxembourg,Switch,Service Ticket,EA,9/29/2017,99.99,EUR,2,11,eShop,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,LV,Republic of Latvia,Switch,Service Ticket,EA,9/28/2017,99.99,EUR,1,2,eShop,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,MT,Republic of Malta,Switch,Service Ticket,EA,9/29/2017,99.99,EUR,0,0,eShop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACHADCEA000009,FIFA 18 Ultimate Team™ Points,HACHADCEA000009,FIFA 18 Ultimate Team™ Points,Europe,NL,Netherlands,Switch,Service Ticket,EA,9/29/2017,99.99,EUR,16,67,eShop,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,2,0,2,1,2,3,1,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
